epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1407,0.81623,1.99871,0.97723,7e-05,0.09825,0.00035,0.00011,2.37506,inf,3.09065,0.0704545,0.00328283,0.00328283
2,131.372,0.81381,1.24023,1.00756,0.14336,0.40157,0.15813,0.11072,1.09221,3.59992,1.42857,0.0404481,0.0066097,0.0066097
3,182.497,0.7809,1.07948,0.99632,0.29494,0.46534,0.20084,0.13186,0.94943,4.84877,1.23566,0.0104157,0.00991066,0.00991066
4,231.504,0.76141,0.98866,0.99269,0.27236,0.32476,0.24035,0.19289,0.81893,4.16381,1.13153,0.00991232,0.00991232,0.00991232
5,282.846,0.73131,0.91322,0.98179,0.53324,0.50939,0.49467,0.4053,0.75496,2.16648,1.05877,0.00984449,0.00984449,0.00984449
6,331.682,0.71112,0.8357,0.97872,0.50026,0.5617,0.53785,0.41181,0.85531,1.10772,1.12005,0.00975773,0.00975773,0.00975773
7,382.48,0.695,0.7962,0.96141,0.60552,0.61813,0.64648,0.54263,0.65704,1.23307,0.99354,0.00965239,0.00965239,0.00965239
8,432.13,0.68954,0.75885,0.96522,0.64839,0.63883,0.70759,0.59522,0.64099,1.2096,0.96776,0.00952889,0.00952889,0.00952889
9,483.849,0.67484,0.69725,0.95918,0.62453,0.69496,0.72029,0.60992,0.6261,0.93705,0.96503,0.00938772,0.00938772,0.00938772
10,533.218,0.67066,0.69943,0.95458,0.70508,0.74074,0.81196,0.67974,0.63034,0.81927,0.97444,0.00922942,0.00922942,0.00922942
11,583.87,0.65184,0.63837,0.94726,0.7796,0.84718,0.89649,0.773,0.59845,0.66723,0.95829,0.00905463,0.00905463,0.00905463
12,633.279,0.63173,0.61021,0.93996,0.78142,0.82226,0.88779,0.7355,0.63869,0.59987,0.98479,0.00886404,0.00886404,0.00886404
13,683.545,0.63653,0.59745,0.9409,0.80014,0.77432,0.88838,0.76907,0.57094,0.72298,0.93566,0.00865839,0.00865839,0.00865839
14,732.057,0.63074,0.57354,0.9378,0.78725,0.73659,0.84746,0.7336,0.57159,0.70739,0.94404,0.00843851,0.00843851,0.00843851
15,783.08,0.62184,0.55798,0.93869,0.81529,0.8177,0.90262,0.78753,0.57417,0.57407,0.93494,0.00820525,0.00820525,0.00820525
16,832.735,0.62518,0.54505,0.93289,0.84995,0.82848,0.93145,0.81207,0.58174,0.58586,0.93978,0.00795954,0.00795954,0.00795954
17,884.218,0.60446,0.52548,0.92579,0.81952,0.82658,0.92335,0.77978,0.61421,0.56123,0.95221,0.00770234,0.00770234,0.00770234
18,933.752,0.60194,0.51431,0.92778,0.86559,0.89708,0.9333,0.81917,0.56162,0.47789,0.926,0.00743468,0.00743468,0.00743468
19,984.822,0.60228,0.49406,0.92577,0.87713,0.89805,0.95421,0.8476,0.54534,0.43571,0.91853,0.00715761,0.00715761,0.00715761
20,1034.31,0.5992,0.49881,0.925,0.91328,0.93212,0.97015,0.85878,0.54544,0.44742,0.91887,0.00687222,0.00687222,0.00687222
21,1083.96,0.58962,0.47525,0.91634,0.92232,0.93649,0.96994,0.86447,0.54889,0.42632,0.91966,0.00657963,0.00657963,0.00657963
22,1133.93,0.58705,0.4703,0.91837,0.93034,0.90863,0.96473,0.86374,0.53807,0.42221,0.91468,0.00628101,0.00628101,0.00628101
23,1183,0.5741,0.4603,0.91587,0.88937,0.92762,0.96421,0.85349,0.54832,0.44049,0.91803,0.00597754,0.00597754,0.00597754
24,1232.83,0.57564,0.45996,0.91179,0.92647,0.94514,0.97742,0.87348,0.53562,0.40756,0.91006,0.0056704,0.0056704,0.0056704
25,1281.4,0.57725,0.43677,0.91048,0.94723,0.9641,0.98467,0.88699,0.53663,0.36146,0.90682,0.00536081,0.00536081,0.00536081
26,1331.5,0.56803,0.42941,0.91096,0.93214,0.94184,0.98039,0.88297,0.52221,0.38202,0.9018,0.00505,0.00505,0.00505
27,1380.26,0.56282,0.41833,0.90701,0.95779,0.96318,0.98647,0.88867,0.52077,0.34925,0.90646,0.00473919,0.00473919,0.00473919
28,1430.34,0.55738,0.40296,0.91135,0.88509,0.93029,0.97018,0.86964,0.53296,0.44004,0.908,0.0044296,0.0044296,0.0044296
29,1477.39,0.55613,0.40249,0.906,0.9587,0.9593,0.98023,0.88718,0.51398,0.3267,0.90153,0.00412246,0.00412246,0.00412246
30,1525.44,0.55397,0.38814,0.90497,0.96681,0.97445,0.98788,0.8978,0.51902,0.31877,0.90362,0.00381899,0.00381899,0.00381899
31,1572.74,0.5469,0.37931,0.89967,0.95439,0.98579,0.98998,0.89534,0.51123,0.31498,0.90051,0.00352037,0.00352037,0.00352037
32,1620.56,0.54148,0.37073,0.89834,0.95553,0.97701,0.98854,0.89866,0.51493,0.31878,0.8982,0.00322778,0.00322778,0.00322778
33,1668.59,0.54227,0.37233,0.90286,0.97914,0.97954,0.98817,0.89854,0.50601,0.3056,0.89706,0.00294239,0.00294239,0.00294239
34,1715.73,0.52509,0.35298,0.89309,0.97984,0.98645,0.98961,0.90531,0.5066,0.29094,0.89312,0.00266532,0.00266532,0.00266532
35,1764.14,0.52497,0.34294,0.89206,0.98267,0.98348,0.98813,0.89683,0.50364,0.28795,0.89433,0.00239766,0.00239766,0.00239766
36,1811.16,0.52845,0.34351,0.8923,0.98677,0.99179,0.99053,0.90493,0.50459,0.27587,0.89291,0.00214046,0.00214046,0.00214046
37,1859.23,0.52023,0.33945,0.88995,0.98138,0.98912,0.98885,0.90892,0.49938,0.2718,0.89244,0.00189475,0.00189475,0.00189475
38,1906.22,0.51998,0.32582,0.88726,0.98399,0.98087,0.98816,0.90985,0.49574,0.27262,0.89172,0.00166149,0.00166149,0.00166149
